pitch,time_start,duration,beat_type,string,position,finger
60,0,120,4th,N/A,N/A,N/A
79,320,120,8th,N/A,N/A,N/A
79,440,120,16th,N/A,N/A,N/A
81,0,120,4th,N/A,N/A,N/A
83,160,120,16th,N/A,N/A,N/A
81,160,60,16th,N/A,N/A,N/A
79,160,60,8th,N/A,N/A,N/A
76,320,120,8th,N/A,N/A,N/A
76,440,0,16th,N/A,N/A,N/A
77,0,0,4th,N/A,N/A,N/A
76,160,120,8th,N/A,N/A,N/A
72,320,120,8th,N/A,N/A,N/A
72,440,120,16th,N/A,N/A,N/A
74,0,240,4th,N/A,N/A,N/A
72,160,120,8th,N/A,N/A,N/A
64,320,240,16th,N/A,N/A,N/A
65,360,120,16th,N/A,N/A,N/A
67,399,120,16th,N/A,N/A,N/A
64,440,60,16th,N/A,N/A,N/A
65,0,60,8th,N/A,N/A,N/A
55,79,120,4th,N/A,N/A,N/A
74,320,0,8th,N/A,N/A,N/A
74,440,0,16th,N/A,N/A,N/A
76,0,120,4th,N/A,N/A,N/A
74,160,120,8th,N/A,N/A,N/A
71,320,120,8th,N/A,N/A,N/A
71,440,120,16th,N/A,N/A,N/A
72,0,120,4th,N/A,N/A,N/A
71,160,120,8th,N/A,N/A,N/A
71,320,240,16th,N/A,N/A,N/A
74,346,120,16th,N/A,N/A,N/A
77,373,120,16th,N/A,N/A,N/A
81,399,60,8th,N/A,N/A,N/A
71,79,60,16th,N/A,N/A,N/A
74,106,120,16th,N/A,N/A,N/A
78,133,120,16th,N/A,N/A,N/A
81,160,60,8th,N/A,N/A,N/A
71,320,60,16th,N/A,N/A,N/A
74,346,60,16th,N/A,N/A,N/A
77,373,60,16th,N/A,N/A,N/A
81,399,60,16th,N/A,N/A,N/A
79,426,60,16th,N/A,N/A,N/A
77,453,60,16th,N/A,N/A,N/A
76,0,60,8th,N/A,N/A,N/A
100,79,120,8th,N/A,N/A,N/A
60,160,120,8th,N/A,N/A,N/A
79,320,180,8th,N/A,N/A,N/A
79,440,60,16th,N/A,N/A,N/A
81,0,360,4th,N/A,N/A,N/A
83,160,120,16th,N/A,N/A,N/A
81,160,180,16th,N/A,N/A,N/A
79,160,60,8th,N/A,N/A,N/A
76,320,240,8th,N/A,N/A,N/A
76,440,0,16th,N/A,N/A,N/A
77,0,0,4th,N/A,N/A,N/A
76,160,120,8th,N/A,N/A,N/A
72,320,120,8th,N/A,N/A,N/A
72,440,180,16th,N/A,N/A,N/A
74,0,60,4th,N/A,N/A,N/A
72,160,240,8th,N/A,N/A,N/A
64,320,120,16th,N/A,N/A,N/A
65,360,120,16th,N/A,N/A,N/A
67,399,180,16th,N/A,N/A,N/A
64,440,60,16th,N/A,N/A,N/A
65,0,240,8th,N/A,N/A,N/A
56,79,120,4th,N/A,N/A,N/A
74,320,120,8th,N/A,N/A,N/A
74,440,60,16th,N/A,N/A,N/A
76,0,60,4th,N/A,N/A,N/A
74,160,60,8th,N/A,N/A,N/A
71,320,60,8th,N/A,N/A,N/A
71,440,120,16th,N/A,N/A,N/A
74,0,240,4th,N/A,N/A,N/A
72,160,120,8th,N/A,N/A,N/A
64,320,180,16th,N/A,N/A,N/A
